	l	b	apogee	galah	gaia_eso
0	0.0	0.0	2.95573884155658	0.6492016314166401	1.4139433516837392
1	3.6363636363636362	0.0	5.718443925974358	2.0775744844421378	3.613576534913278
2	7.2727272727272725	0.0	5.146368700349474	1.8513108333590047	3.4765857396929016
3	10.909090909090908	0.0	5.787918866812893	2.31130305275247	4.030870343636476
4	14.545454545454545	0.0	5.757776469199723	2.4123783122471023	3.7896690645738924
5	18.18181818181818	0.0	6.411379601360986	2.1541601128791137	3.3700741983199687
6	21.818181818181817	0.0	5.800420176427721	2.0377287745542754	3.557344248028415
7	25.454545454545453	0.0	5.572935339150785	1.6791154892559617	3.1997777096567503
8	29.09090909090909	0.0	6.3079289536411	2.230803189642691	4.406887435710897
9	32.72727272727273	0.0	8.02833205280386	2.4406571085621382	6.5443810234027655
10	36.36363636363636	0.0	5.315192244928971	1.9108975945290712	2.6921418839426794
11	40.0	0.0	6.491829200536093	1.5981750994072315	3.5814700996277122
12	43.63636363636363	0.0	5.37685992369496	1.3350962953984482	2.891849074708802
13	47.27272727272727	0.0	6.475800023478888	1.6501577594017172	3.9363678172159533
14	50.90909090909091	0.0	5.774218635882885	1.8677560236145774	3.5289543178154688
15	54.54545454545455	0.0	7.321139907865007	2.1745034017960507	4.809068686918017
16	58.18181818181818	0.0	6.53918686165622	2.1458357430479706	4.290439132535473
17	61.81818181818181	0.0	7.696102962560797	2.053307238086619	5.136404757489285
18	65.45454545454545	0.0	8.816681350709239	2.89260028637914	7.02626291346433
19	69.0909090909091	0.0	7.655143305093653	2.21142933108358	5.077254884984464
20	72.72727272727272	0.0	8.509711160432234	2.2472297011415954	5.672251345556689
21	76.36363636363636	0.0	5.957529293921316	1.43655362201004	3.1504098553934012
22	80.0	0.0	6.180732625798195	1.5007440961322114	2.331993381843009
23	83.63636363636364	0.0	7.071317235438628	1.9711485603553591	4.244261743287183
24	87.27272727272727	0.0	9.557858691763565	3.483114021050664	7.798902138879518
25	90.9090909090909	0.0	8.521370198311983	2.4020508470255475	4.561553127020763
26	94.54545454545455	0.0	7.8019903122683765	2.7721187721152245	5.270062572246801
27	98.18181818181817	0.0	9.937653137000098	3.083557983654169	9.53172423294352
28	101.81818181818181	0.0	10.7303336657011	3.3093825629128517	14.6516494658852
29	105.45454545454545	0.0	11.526490526194435	3.7803659439266695	22.193097255890915
30	109.0909090909091	0.0	9.854628580236476	2.997680583080847	9.257228254007948
31	112.72727272727272	0.0	11.827051531824708	2.9746274448577767	26.183363069965612
32	116.36363636363636	0.0	11.98599646342559	3.4473275041871743	28.25299196387542
33	120.0	0.0	10.730195446017346	3.6800203607649067	14.84279578374481
34	123.63636363636363	0.0	11.90011349324753	3.6640158893171577	27.11534108143255
35	127.27272727272727	0.0	11.131611018600616	2.7235184985599004	18.4278127855637
36	130.9090909090909	0.0	11.450394805221796	3.273177137550051	21.309343316410793
