# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Sun Dec 20 01:18:08 CET 2015
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287 + Chen et al. (2015), MNRAS accepted
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.01900	Y = 0.28242	[M/H] = 0.119	eta_R = 0.200	Age = 	2.0000e+09 yr
	Z	log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	mbol	U	B	V	R	I	J	H	K	int_IMF	stage
	0.019000	9.3010	1.11843848	1.1183	0.1558	3.7818	4.4099	4.380	5.153	5.019	4.413	4.046	3.753	3.393	3.108	3.073	3.16958284	1
	0.019000	9.3010	1.12725961	1.1271	0.1746	3.7836	4.4016	4.333	5.079	4.960	4.364	4.003	3.713	3.357	3.074	3.041	3.17146587	1
	0.019000	9.3010	1.16843855	1.1683	0.2614	3.7917	4.3629	4.116	4.748	4.691	4.137	3.803	3.526	3.188	2.919	2.892	3.17985058	1
	0.019000	9.3010	1.19128072	1.1911	0.3079	3.7959	4.3415	4.000	4.584	4.550	4.017	3.694	3.424	3.095	2.834	2.809	3.18423200	1
	0.019000	9.3010	1.21794224	1.2177	0.3611	3.8003	4.3158	3.867	4.402	4.391	3.879	3.568	3.306	2.987	2.734	2.711	3.18912220	1
	0.019000	9.3010	1.21843851	1.2182	0.3620	3.8004	4.3153	3.865	4.399	4.388	3.876	3.566	3.303	2.985	2.732	2.709	3.18921113	1
	0.019000	9.3010	1.22175705	1.2216	0.3685	3.8009	4.3121	3.849	4.379	4.369	3.859	3.550	3.289	2.971	2.719	2.697	3.18980312	1
	0.019000	9.3010	1.26843858	1.2682	0.4569	3.8074	4.2657	3.628	4.115	4.116	3.631	3.335	3.084	2.782	2.544	2.523	3.19777656	1
	0.019000	9.3010	1.26977611	1.2695	0.4593	3.8075	4.2644	3.622	4.108	4.109	3.625	3.329	3.079	2.777	2.539	2.518	3.19799566	1
	0.019000	9.3010	1.35265779	1.3524	0.6015	3.8153	4.1808	3.266	3.709	3.714	3.261	2.981	2.744	2.461	2.240	2.220	3.21061015	1
	0.019000	9.3010	1.38466263	1.3844	0.6546	3.8175	4.1467	3.134	3.565	3.569	3.126	2.851	2.617	2.340	2.123	2.104	3.21502471	1
	0.019000	9.3010	1.40265787	1.4024	0.6839	3.8186	4.1272	3.060	3.487	3.490	3.051	2.778	2.547	2.272	2.058	2.038	3.21740675	1
	0.019000	9.3010	1.42468405	1.4244	0.7198	3.8195	4.1017	2.971	3.393	3.395	2.960	2.690	2.459	2.187	1.975	1.955	3.22022939	1
	0.019000	9.3010	1.45265782	1.4524	0.7648	3.8201	4.0677	2.858	3.279	3.278	2.846	2.577	2.348	2.077	1.867	1.848	3.22367454	1
	0.019000	9.3010	1.48031330	1.4800	0.8076	3.8199	4.0325	2.751	3.174	3.170	2.738	2.470	2.241	1.969	1.760	1.740	3.22693563	1
	0.019000	9.3010	1.50265777	1.5024	0.8418	3.8193	4.0024	2.666	3.094	3.086	2.652	2.383	2.154	1.881	1.670	1.650	3.22947097	1
	0.019000	9.3010	1.52231944	1.5221	0.8707	3.8186	3.9763	2.593	3.027	3.015	2.580	2.310	2.080	1.805	1.594	1.573	3.23163247	1
	0.019000	9.3010	1.55156732	1.5513	0.9130	3.8162	3.9327	2.488	2.937	2.918	2.475	2.201	1.967	1.687	1.471	1.450	3.23473263	1
	0.019000	9.3010	1.57977092	1.5796	0.9528	3.8130	3.8877	2.388	2.857	2.831	2.377	2.097	1.859	1.571	1.349	1.327	3.23759913	1
	0.019000	9.3010	1.58687711	1.5867	0.9626	3.8120	3.8758	2.363	2.839	2.811	2.353	2.071	1.832	1.541	1.318	1.295	3.23830318	1
	0.019000	9.3010	1.60583448	1.6057	0.9909	3.8091	3.8411	2.293	2.787	2.752	2.285	1.997	1.753	1.455	1.227	1.203	3.24014521	1
	0.019000	9.3010	1.61976743	1.6196	1.0113	3.8064	3.8139	2.242	2.755	2.713	2.236	1.944	1.695	1.391	1.157	1.133	3.24146628	1
	0.019000	9.3010	1.61993206	1.6198	1.0115	3.8064	3.8135	2.241	2.755	2.713	2.236	1.943	1.695	1.390	1.156	1.132	3.24148178	1
	0.019000	9.3010	1.63672721	1.6366	1.0336	3.8016	3.7767	2.186	2.734	2.680	2.185	1.883	1.627	1.311	1.067	1.042	3.24303865	1
	0.019000	9.3010	1.65265787	1.6525	1.0537	3.7967	3.7414	2.136	2.730	2.657	2.140	1.827	1.563	1.235	0.982	0.955	3.24448037	1
	0.019000	9.3010	1.66643715	1.6663	1.0706	3.7922	3.7101	2.093	2.736	2.641	2.103	1.778	1.506	1.168	0.907	0.878	3.24570107	1
	0.019000	9.3010	1.68300259	1.6829	1.0964	3.7876	3.6700	2.029	2.727	2.606	2.044	1.706	1.427	1.077	0.808	0.776	3.24713707	1
	0.019000	9.3010	1.68554831	1.6855	1.1015	3.7871	3.6636	2.016	2.721	2.596	2.032	1.693	1.412	1.062	0.792	0.759	3.24735498	1
	0.019000	9.3010	1.68831825	1.6882	1.1068	3.7866	3.6570	2.003	2.714	2.586	2.019	1.679	1.397	1.046	0.775	0.742	3.24759078	1
	0.019000	9.3010	1.69524789	1.6952	1.1467	3.7912	3.6373	1.903	2.559	2.455	1.913	1.586	1.313	0.972	0.710	0.680	3.24817729	1
	0.019000	9.3010	1.69704843	1.6970	1.1819	3.7978	3.6291	1.815	2.404	2.325	1.816	1.507	1.245	0.920	0.671	0.644	3.24832869	1
	0.019000	9.3010	1.69767702	1.6976	1.2157	3.8046	3.6224	1.731	2.267	2.202	1.722	1.429	1.179	0.870	0.635	0.610	3.24838138	1
	0.019000	9.3010	1.69795740	1.6979	1.2506	3.8113	3.6145	1.643	2.137	2.080	1.627	1.347	1.109	0.817	0.596	0.572	3.24840498	1
	0.019000	9.3010	1.69813132	1.6981	1.2798	3.8173	3.6093	1.570	2.032	1.978	1.548	1.280	1.052	0.775	0.567	0.543	3.24841952	2
	0.019000	9.3010	1.69815838	1.6981	1.2719	3.8165	3.6140	1.590	2.055	2.002	1.568	1.299	1.070	0.790	0.581	0.557	3.24842191	2
	0.019000	9.3010	1.69822216	1.6981	1.2417	3.8124	3.6279	1.666	2.152	2.098	1.649	1.371	1.135	0.845	0.627	0.602	3.24842715	2
	0.019000	9.3010	1.69831789	1.6982	1.2179	3.8042	3.6187	1.725	2.264	2.199	1.717	1.423	1.172	0.863	0.627	0.601	3.24843526	2
	0.019000	9.3010	1.69848502	1.6984	1.2182	3.7934	3.5752	1.724	2.360	2.260	1.730	1.409	1.141	0.805	0.548	0.518	3.24844933	2
	0.019000	9.3010	1.69877648	1.6987	1.2212	3.7820	3.5271	1.717	2.487	2.328	1.738	1.386	1.097	0.734	0.456	0.420	3.24847364	2
	0.019000	9.3010	1.69923115	1.6992	1.2105	3.7706	3.4920	1.744	2.630	2.431	1.789	1.408	1.097	0.702	0.397	0.356	3.24851179	2
	0.019000	9.3010	1.69970691	1.6996	1.1907	3.7616	3.4759	1.793	2.772	2.536	1.859	1.458	1.133	0.712	0.385	0.343	3.24855161	2
	0.019000	9.3010	1.70018160	1.7001	1.1657	3.7536	3.4691	1.856	2.923	2.648	1.940	1.523	1.184	0.742	0.395	0.350	3.24859142	2
	0.019000	9.3010	1.70065486	1.7006	1.1362	3.7459	3.4681	1.930	3.090	2.772	2.035	1.600	1.249	0.784	0.418	0.371	3.24863076	2
	0.019000	9.3010	1.70112681	1.7011	1.1043	3.7383	3.4698	2.009	3.270	2.904	2.137	1.684	1.321	0.832	0.446	0.398	3.24867034	2
	0.019000	9.3010	1.70159757	1.7015	1.0751	3.7309	3.4693	2.082	3.448	3.031	2.234	1.763	1.388	0.876	0.470	0.419	3.24870968	2
	0.019000	9.3010	1.70225453	1.7022	1.0515	3.7210	3.4537	2.141	3.657	3.163	2.327	1.833	1.441	0.897	0.465	0.411	3.24876451	2
	0.019000	9.3010	1.70290887	1.7028	1.0553	3.7125	3.4158	2.132	3.790	3.222	2.352	1.835	1.428	0.856	0.399	0.342	3.24881887	3
	0.019000	9.3010	1.70343721	1.7034	1.0858	3.7070	3.3634	2.056	3.809	3.193	2.299	1.767	1.350	0.759	0.288	0.228	3.24886298	3
