# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Sun Dec 20 01:18:08 CET 2015
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287 + Chen et al. (2015), MNRAS accepted
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.01900	Y = 0.28242	[M/H] = 0.119	eta_R = 0.200	Age = 	2.0000e+09 yr
	Z	log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	mbol	U	B	V	R	I	J	H	K	int_IMF	stage
	0.019000	9.3010	1.72234809	1.7219	2.9359	3.5752	0.9909	-2.570	2.734	0.475	-1.081	-2.022	-3.092	-4.229	-5.064	-5.241	3.25041676	3
	0.019000	9.3010	1.72245157	1.7220	2.9709	3.5719	0.9426	-2.657	2.761	0.468	-1.102	-2.058	-3.168	-4.325	-5.163	-5.347	3.25042510	3
	0.019000	9.3010	1.72254670	1.7220	3.0045	3.5686	0.8960	-2.741	2.789	0.465	-1.116	-2.088	-3.240	-4.417	-5.258	-5.449	3.25043273	3
	0.019000	9.3010	1.72263658	1.7221	3.0379	3.5654	0.8496	-2.825	2.821	0.469	-1.120	-2.110	-3.308	-4.509	-5.353	-5.551	3.25044012	3
	0.019000	9.3010	1.72271895	1.7221	3.0701	3.5621	0.8045	-2.905	2.856	0.472	-1.125	-2.131	-3.375	-4.597	-5.444	-5.649	3.25044680	3
	0.019000	9.3010	1.72279632	1.7221	3.1017	3.5589	0.7601	-2.984	2.892	0.479	-1.124	-2.148	-3.439	-4.684	-5.533	-5.745	3.25045300	3
	0.019000	9.3010	1.72286701	1.7221	3.1317	3.5559	0.7179	-3.059	2.927	0.496	-1.110	-2.157	-3.496	-4.767	-5.617	-5.836	3.25045872	3
	0.019000	9.3010	1.72293532	1.7221	3.1619	3.5528	0.6752	-3.135	2.965	0.511	-1.097	-2.166	-3.554	-4.850	-5.703	-5.929	3.25046420	3
	0.019000	9.3010	1.72299838	1.7221	3.1905	3.5497	0.6344	-3.206	3.005	0.527	-1.081	-2.170	-3.610	-4.929	-5.784	-6.017	3.25046945	3
	0.019000	9.3010	1.72304928	1.7221	3.2132	3.5472	0.6016	-3.263	3.037	0.557	-1.050	-2.164	-3.646	-4.991	-5.848	-6.087	3.25047350	4
	0.019000	9.3010	1.72304928	1.7229	1.6889	3.6800	2.6572	0.548	2.802	1.944	0.920	0.320	-0.151	-0.841	-1.388	-1.460	3.25047350	4
	0.019000	9.3010	1.72423041	1.7241	1.7103	3.6783	2.6294	0.494	2.784	1.908	0.877	0.271	-0.203	-0.899	-1.452	-1.525	3.25056911	4
	0.019000	9.3010	1.72541869	1.7253	1.7135	3.6782	2.6263	0.486	2.777	1.901	0.869	0.263	-0.211	-0.908	-1.460	-1.533	3.25066519	4
	0.019000	9.3010	1.72663617	1.7265	1.7125	3.6786	2.6290	0.489	2.772	1.900	0.870	0.265	-0.209	-0.904	-1.456	-1.528	3.25076342	4
	0.019000	9.3010	1.72787166	1.7278	1.7119	3.6789	2.6312	0.490	2.767	1.898	0.869	0.265	-0.208	-0.902	-1.452	-1.525	3.25086284	4
	0.019000	9.3010	1.72907376	1.7290	1.7115	3.6792	2.6331	0.491	2.761	1.895	0.868	0.266	-0.207	-0.900	-1.450	-1.522	3.25095963	4
	0.019000	9.3010	1.73017764	1.7301	1.7112	3.6795	2.6347	0.492	2.756	1.893	0.867	0.265	-0.207	-0.898	-1.447	-1.519	3.25104809	4
	0.019000	9.3010	1.73136055	1.7313	1.7110	3.6797	2.6364	0.493	2.751	1.891	0.866	0.265	-0.206	-0.897	-1.445	-1.517	3.25114298	4
	0.019000	9.3010	1.73255980	1.7325	1.7108	3.6800	2.6380	0.493	2.745	1.888	0.865	0.265	-0.206	-0.895	-1.443	-1.515	3.25123906	4
	0.019000	9.3010	1.73378003	1.7338	1.7109	3.6803	2.6391	0.493	2.740	1.886	0.863	0.264	-0.206	-0.895	-1.442	-1.513	3.25133657	4
	0.019000	9.3010	1.73421931	1.7342	1.7111	3.6803	2.6394	0.492	2.738	1.884	0.862	0.263	-0.207	-0.895	-1.441	-1.513	3.25137162	4
	0.019000	9.3010	1.73508370	1.7351	1.7114	3.6805	2.6399	0.491	2.734	1.882	0.861	0.262	-0.208	-0.896	-1.441	-1.513	3.25144053	4
	0.019000	9.3010	1.73631310	1.7363	1.7121	3.6807	2.6403	0.490	2.729	1.878	0.858	0.260	-0.209	-0.897	-1.442	-1.513	3.25153828	4
	0.019000	9.3010	1.73753107	1.7375	1.7128	3.6809	2.6407	0.488	2.723	1.875	0.855	0.258	-0.211	-0.898	-1.442	-1.514	3.25163507	4
	0.019000	9.3010	1.73871422	1.7387	1.7135	3.6811	2.6410	0.486	2.718	1.871	0.852	0.256	-0.213	-0.899	-1.443	-1.514	3.25172901	4
	0.019000	9.3010	1.73990726	1.7399	1.7143	3.6812	2.6412	0.484	2.712	1.868	0.849	0.253	-0.215	-0.900	-1.444	-1.515	3.25182343	4
	0.019000	9.3010	1.74017131	1.7402	1.7144	3.6813	2.6413	0.484	2.711	1.867	0.849	0.253	-0.216	-0.901	-1.444	-1.515	3.25184441	4
	0.019000	9.3010	1.74115241	1.7412	1.7152	3.6814	2.6412	0.482	2.706	1.864	0.846	0.250	-0.218	-0.902	-1.445	-1.516	3.25192189	4
	0.019000	9.3010	1.74238145	1.7424	1.7164	3.6815	2.6409	0.479	2.701	1.859	0.842	0.247	-0.221	-0.905	-1.447	-1.518	3.25201893	4
	0.019000	9.3010	1.74355948	1.7436	1.7177	3.6816	2.6402	0.476	2.695	1.855	0.838	0.243	-0.224	-0.908	-1.450	-1.521	3.25211191	4
	0.019000	9.3010	1.74475014	1.7448	1.7192	3.6817	2.6394	0.472	2.690	1.850	0.834	0.240	-0.228	-0.911	-1.453	-1.524	3.25220561	4
	0.019000	9.3010	1.74599671	1.7460	1.7209	3.6818	2.6383	0.468	2.684	1.845	0.830	0.235	-0.232	-0.915	-1.457	-1.528	3.25230360	4
	0.019000	9.3010	1.74719179	1.7472	1.7227	3.6818	2.6369	0.463	2.679	1.841	0.825	0.231	-0.237	-0.920	-1.461	-1.532	3.25239730	4
	0.019000	9.3010	1.74842572	1.7484	1.7249	3.6818	2.6351	0.458	2.673	1.835	0.819	0.225	-0.242	-0.925	-1.467	-1.538	3.25249386	4
	0.019000	9.3010	1.74933076	1.7493	1.7265	3.6818	2.6337	0.454	2.669	1.831	0.815	0.221	-0.246	-0.929	-1.471	-1.542	3.25256467	4
	0.019000	9.3010	1.74968803	1.7497	1.7272	3.6818	2.6330	0.452	2.668	1.829	0.814	0.219	-0.248	-0.931	-1.473	-1.544	3.25259256	4
	0.019000	9.3010	1.75095153	1.7510	1.7300	3.6818	2.6303	0.445	2.662	1.823	0.807	0.213	-0.255	-0.938	-1.480	-1.551	3.25269103	4
	0.019000	9.3010	1.75216949	1.7522	1.7329	3.6816	2.6272	0.438	2.657	1.817	0.800	0.206	-0.262	-0.946	-1.488	-1.559	3.25278592	4
	0.019000	9.3010	1.75340438	1.7534	1.7364	3.6815	2.6234	0.429	2.651	1.810	0.792	0.197	-0.270	-0.955	-1.498	-1.569	3.25288200	4
	0.019000	9.3010	1.75464678	1.7546	1.7403	3.6813	2.6189	0.419	2.646	1.802	0.784	0.188	-0.280	-0.965	-1.509	-1.580	3.25297856	4
	0.019000	9.3010	1.75592458	1.7559	1.7449	3.6810	2.6135	0.408	2.640	1.793	0.774	0.177	-0.292	-0.978	-1.522	-1.593	3.25307751	4
	0.019000	9.3010	1.75720799	1.7572	1.7501	3.6806	2.6073	0.395	2.634	1.784	0.763	0.165	-0.304	-0.992	-1.537	-1.609	3.25317693	4
	0.019000	9.3010	1.75848639	1.7585	1.7559	3.6802	2.6001	0.380	2.627	1.773	0.750	0.152	-0.318	-1.008	-1.554	-1.626	3.25327563	4
	0.019000	9.3010	1.75977063	1.7598	1.7638	3.6796	2.5900	0.361	2.620	1.760	0.734	0.134	-0.338	-1.029	-1.578	-1.650	3.25337458	4
	0.019000	9.3010	1.76108193	1.7611	1.7648	3.6797	2.5897	0.358	2.616	1.757	0.731	0.131	-0.340	-1.032	-1.579	-1.652	3.25347567	4
	0.019000	9.3010	1.76242697	1.7624	1.7804	3.6783	2.5688	0.319	2.606	1.733	0.700	0.096	-0.378	-1.075	-1.627	-1.700	3.25357890	4
	0.019000	9.3010	1.76377594	1.7638	1.8142	3.6752	2.5232	0.235	2.586	1.680	0.634	0.021	-0.460	-1.168	-1.730	-1.805	3.25368237	4
	0.019000	9.3010	1.76458716	1.7646	1.8539	3.6718	2.4698	0.135	2.568	1.621	0.556	-0.068	-0.557	-1.279	-1.851	-1.927	3.25374460	4
	0.019000	9.3010	1.76499927	1.7650	1.8961	3.6681	2.4132	0.030	2.557	1.561	0.474	-0.163	-0.661	-1.396	-1.978	-2.057	3.25377607	4
	0.019000	9.3010	1.76520014	1.7652	1.9366	3.6647	2.3591	-0.072	2.545	1.504	0.395	-0.254	-0.760	-1.508	-2.099	-2.181	3.25379157	4
	0.019000	9.3010	1.76530170	1.7653	1.9771	3.6614	2.3052	-0.173	2.534	1.447	0.316	-0.345	-0.859	-1.620	-2.221	-2.304	3.25379920	4
	0.019000	9.3010	1.76535451	1.7654	2.0166	3.6581	2.2525	-0.272	2.525	1.393	0.240	-0.432	-0.955	-1.729	-2.339	-2.424	3.25380325	4
	0.019000	9.3010	1.76538527	1.7654	2.0545	3.6550	2.2023	-0.366	2.517	1.340	0.168	-0.515	-1.047	-1.832	-2.452	-2.539	3.25380564	4
	0.019000	9.3010	1.76540160	1.7654	2.0806	3.6529	2.1678	-0.432	2.512	1.304	0.118	-0.573	-1.110	-1.904	-2.529	-2.618	3.25380683	7
	0.019000	9.3010	1.76540184	1.7654	2.0812	3.6528	2.1670	-0.433	2.512	1.304	0.117	-0.574	-1.111	-1.905	-2.531	-2.620	3.25380683	7
	0.019000	9.3010	1.76540780	1.7654	2.0930	3.6519	2.1514	-0.463	2.509	1.287	0.095	-0.600	-1.140	-1.937	-2.566	-2.656	3.25380731	7
	0.019000	9.3010	1.76542771	1.7654	2.1320	3.6488	2.0999	-0.560	2.502	1.234	0.021	-0.685	-1.234	-2.044	-2.681	-2.773	3.25380898	7
	0.019000	9.3010	1.76544631	1.7654	2.1607	3.6465	2.0621	-0.632	2.498	1.196	-0.032	-0.747	-1.302	-2.121	-2.766	-2.859	3.25381017	7
	0.019000	9.3010	1.76547277	1.7655	2.1865	3.6444	2.0281	-0.696	2.495	1.162	-0.079	-0.803	-1.364	-2.191	-2.842	-2.937	3.25381231	7
	0.019000	9.3010	1.76551974	1.7655	2.1661	3.6461	2.0553	-0.645	2.496	1.188	-0.042	-0.759	-1.316	-2.136	-2.781	-2.875	3.25381589	7
	0.019000	9.3010	1.76557851	1.7656	2.1397	3.6483	2.0902	-0.579	2.498	1.222	0.006	-0.702	-1.252	-2.064	-2.703	-2.796	3.25382042	7
	0.019000	9.3010	1.76579738	1.7658	2.1137	3.6504	2.1247	-0.514	2.501	1.257	0.054	-0.646	-1.190	-1.994	-2.626	-2.717	3.25383711	7
	0.019000	9.3010	1.76717103	1.7672	2.1473	3.6477	2.0809	-0.598	2.496	1.212	-0.008	-0.719	-1.270	-2.085	-2.725	-2.818	3.25394201	7
	0.019000	9.3010	1.76772785	1.7677	2.1837	3.6448	2.0329	-0.689	2.492	1.164	-0.075	-0.798	-1.358	-2.184	-2.833	-2.928	3.25398445	7
	0.019000	9.3010	1.76816154	1.7682	2.2223	3.6417	1.9820	-0.786	2.492	1.114	-0.146	-0.881	-1.450	-2.288	-2.946	-3.044	3.25401759	7
	0.019000	9.3010	1.76851499	1.7685	2.2623	3.6385	1.9291	-0.886	2.500	1.066	-0.218	-0.966	-1.546	-2.397	-3.064	-3.165	3.25404453	7
	0.019000	9.3010	1.76881015	1.7688	2.3021	3.6352	1.8765	-0.985	2.509	1.019	-0.288	-1.050	-1.641	-2.505	-3.181	-3.284	3.25406694	7
	0.019000	9.3010	1.76906443	1.7691	2.3420	3.6320	1.8238	-1.085	2.519	0.972	-0.358	-1.133	-1.736	-2.614	-3.298	-3.404	3.25408626	7
	0.019000	9.3010	1.76928556	1.7693	2.3817	3.6288	1.7712	-1.184	2.529	0.927	-0.427	-1.215	-1.830	-2.721	-3.414	-3.523	3.25410295	7
	0.019000	9.3010	1.76948225	1.7695	2.4217	3.6255	1.7182	-1.284	2.540	0.882	-0.494	-1.296	-1.925	-2.829	-3.531	-3.643	3.25411797	7
	0.019000	9.3010	1.76966238	1.7697	2.4624	3.6222	1.6642	-1.386	2.551	0.838	-0.563	-1.378	-2.020	-2.938	-3.650	-3.766	3.25413179	7
	0.019000	9.3010	1.76982653	1.7698	2.5027	3.6189	1.6107	-1.487	2.562	0.794	-0.630	-1.458	-2.115	-3.047	-3.767	-3.886	3.25414419	7
	0.019000	9.3010	1.76997435	1.7700	2.5408	3.6157	1.5600	-1.582	2.573	0.754	-0.690	-1.531	-2.205	-3.149	-3.878	-4.001	3.25415540	7
	0.019000	9.3010	1.77012098	1.7701	2.5800	3.6124	1.5076	-1.680	2.586	0.714	-0.752	-1.606	-2.296	-3.255	-3.993	-4.119	3.25416660	7
	0.019000	9.3010	1.77025962	1.7703	2.6192	3.6091	1.4552	-1.778	2.589	0.670	-0.813	-1.678	-2.387	-3.360	-4.107	-4.238	3.25417709	7
	0.019000	9.3010	1.77039456	1.7704	2.6618	3.6055	1.3983	-1.884	2.589	0.623	-0.874	-1.750	-2.485	-3.475	-4.231	-4.366	3.25418735	7
	0.019000	9.3010	1.77051890	1.7705	2.7117	3.6012	1.3311	-2.009	2.592	0.570	-0.946	-1.834	-2.600	-3.609	-4.377	-4.518	3.25419688	7
	0.019000	9.3010	1.77061582	1.7706	2.7682	3.5962	1.2547	-2.150	2.593	0.513	-1.019	-1.919	-2.730	-3.761	-4.543	-4.690	3.25420403	7
	0.019000	9.3010	1.77068031	1.7707	2.8194	3.5916	1.1851	-2.279	2.596	0.464	-1.083	-1.994	-2.847	-3.899	-4.693	-4.847	3.25420904	7
	0.019000	9.3010	1.77072895	1.7707	2.8643	3.5875	1.1238	-2.391	2.597	0.424	-1.131	-2.050	-2.949	-4.021	-4.825	-4.985	3.25421262	7
	0.019000	9.3010	1.77077174	1.7708	2.9060	3.5836	1.0667	-2.495	2.599	0.389	-1.171	-2.095	-3.043	-4.134	-4.948	-5.113	3.25421596	7
	0.019000	9.3010	1.77081096	1.7708	2.9453	3.5799	1.0125	-2.593	2.604	0.357	-1.207	-2.137	-3.132	-4.241	-5.064	-5.235	3.25421906	7
	0.019000	9.3010	1.77084756	1.7708	2.9830	3.5762	0.9601	-2.687	2.626	0.348	-1.225	-2.169	-3.213	-4.344	-5.173	-5.350	3.25422168	7
	0.019000	9.3010	1.77088761	1.7709	3.0243	3.5721	0.9025	-2.791	2.662	0.342	-1.248	-2.209	-3.303	-4.458	-5.290	-5.477	3.25422478	7
	0.019000	9.3010	1.77092493	1.7709	3.0607	3.5685	0.8514	-2.882	2.697	0.341	-1.261	-2.239	-3.380	-4.558	-5.393	-5.588	3.25422764	7
	0.019000	9.3010	1.77096355	1.7710	3.0959	3.5648	0.8016	-2.970	2.738	0.349	-1.262	-2.259	-3.452	-4.655	-5.494	-5.696	3.25423050	7
	0.019000	9.3010	1.77100551	1.7710	3.1312	3.5611	0.7515	-3.058	2.782	0.354	-1.265	-2.280	-3.526	-4.753	-5.594	-5.804	3.25423384	7
	0.019000	9.3010	1.77105176	1.7711	3.1638	3.5577	0.7051	-3.140	2.824	0.369	-1.254	-2.291	-3.590	-4.843	-5.687	-5.904	3.25423717	7
	0.019000	9.3010	1.77109766	1.7711	3.2053	3.5532	0.6455	-3.243	2.882	0.396	-1.229	-2.296	-3.669	-4.957	-5.805	-6.033	3.25424075	7
	0.019000	9.3010	1.77111590	1.7711	3.3065	3.5414	0.4973	-3.496	3.047	0.519	-1.093	-2.262	-3.842	-5.237	-6.094	-6.350	3.25424218	7
	0.019000	9.3010	1.77112472	1.7711	3.3481	3.5365	0.4360	-3.600	3.065	0.597	-0.997	-2.229	-3.889	-5.352	-6.216	-6.480	3.25424266	7
	0.019000	9.3010	1.77112556	1.7711	3.3503	3.5362	0.4329	-3.606	3.065	0.601	-0.993	-2.227	-3.891	-5.358	-6.222	-6.487	3.25424290	8
