	l	b	apogee	galah	gaia_eso
0	0.0	0.0	1.975220061507653	0.5421726560260673	1.3192985120900722
1	3.6363636363636362	0.0	3.870701449360663	1.8728938819026721	3.319495232351517
2	7.2727272727272725	0.0	3.666867717072428	1.5980654605627274	3.3498093984987656
3	10.909090909090908	0.0	4.084524756781166	1.9582010621795967	3.777446971908614
4	14.545454545454545	0.0	3.930824412330436	2.0323873568908652	3.607332940510369
5	18.18181818181818	0.0	3.7195251440203765	1.9518243836487237	3.124298929533765
6	21.818181818181817	0.0	3.7582814833662685	1.776966764895062	3.4043316165172306
7	25.454545454545453	0.0	3.6200639793045872	1.4280976853444114	2.9163246958219027
8	29.09090909090909	0.0	4.3011613452910895	1.8324995683171423	4.135365694870915
9	32.72727272727273	0.0	4.875467213548125	2.12406276379168	5.735784618341971
10	36.36363636363636	0.0	3.2785074262650764	1.7384906920841021	2.5430563063694747
11	40.0	0.0	3.930765873399129	1.3551292359114744	3.1019521454226098
12	43.63636363636363	0.0	3.4927251708339297	1.0978156297581048	2.4885895259640956
13	47.27272727272727	0.0	4.05543274933133	1.3408240233401443	3.5617511355704696
14	50.90909090909091	0.0	3.8148921421688313	1.5818694295775853	3.260378837118449
15	54.54545454545455	0.0	4.4354468532962645	1.6907458898768886	4.326000487034696
16	58.18181818181818	0.0	4.219993888714558	1.8471984674926256	3.8727765305099355
17	61.81818181818181	0.0	4.521072864864517	1.72952715561916	4.515811725917925
18	65.45454545454545	0.0	4.9859073724810905	2.3619234448457247	5.9439640710198285
19	69.0909090909091	0.0	4.521588961331036	1.951649619316175	4.517646854767872
20	72.72727272727272	0.0	4.630740936650058	1.7370785085520186	4.8172551265131345
21	76.36363636363636	0.0	3.6400092853073724	1.1365587119927367	2.8491710424418604
22	80.0	0.0	3.2754111563898927	1.3463132763113532	2.1321310605766954
23	83.63636363636364	0.0	4.191267293358328	1.5290339605492584	3.759015904149898
24	87.27272727272727	0.0	5.053500825902461	3.0159802569044487	6.458719473800769
25	90.9090909090909	0.0	4.293927844247461	2.0792585896913653	3.9927173035422143
26	94.54545454545455	0.0	4.6979627768438625	2.2000133239485127	4.868064511073479
27	98.18181818181817	0.0	4.8690063158931265	2.536028508604391	6.33109686758428
28	101.81818181818181	0.0	5.504294828631952	2.7296053131314375	10.00537837684736
29	105.45454545454545	0.0	5.980699680845095	3.1037953010673074	14.880115454240716
30	109.0909090909091	0.0	5.1553499745346025	2.2758563309273954	6.556651369585671
31	112.72727272727272	0.0	5.749743862175425	2.325291997124426	17.435938576394076
32	116.36363636363636	0.0	5.850743834941152	2.68195139991605	18.793978313689706
33	120.0	0.0	5.368942923096266	2.6307796241192745	9.931334467417152
34	123.63636363636363	0.0	5.796974657742587	2.5532545414664547	18.036406311780947
35	127.27272727272727	0.0	5.4223212651117825	2.0974324607838146	12.275969544418869
36	130.9090909090909	0.0	5.5853981645158495	2.3950246330903013	14.275731034369667
37	134.54545454545453	0.0	4.78965499958926	1.544561219364169	6.1549522676109545
38	138.1818181818182	0.0	5.366548585940505	2.1363757139815203	11.571993277568927
39	141.8181818181818	0.0	4.712591735149149	1.2367842925687782	5.517844167957392
40	145.45454545454544	0.0	4.615765989206456	1.2843575567965202	5.053458790857596
41	149.0909090909091	0.0	5.265731074306825	1.8206464469273513	10.464928214389186
42	152.72727272727272	0.0	5.500380130220612	2.3320367848702332	12.66190021325408
43	156.36363636363635	0.0	5.272674595847472	1.7563624998780163	10.78752857798396
44	160.0	0.0	5.580488127508303	2.18178595480635	14.090431231542857
